address,smart_contract_type,balance,address_annotation,transfers_from_count,calls_from_count
0x9d3937226a367bedce0916f9cee4490d22214c7c,Wallet,60000.223983914555,"",12,0
0xcdbf58a9a9b54a2c43800c50c7192946de858321,Wallet,60000.001071,"",2,0
0x1342a001544b8b7ae4a5d374e33114c66d78bd5f,Wallet,59491.41,"Heist, GatecoinHack_2",0,0
0xd4914762f9bd566bd0882b71af5439c0476d2ff6,Wallet,59480.51,"Heist, GatecoinHack_1",0,0
0x5bcd25b6e044b97dfc941b9ec4b617ec10e1abcd,Wallet,59289.62294661588,"",7,45
0xa43d2e05ed00c040c8422a88cb8ede921a539f92,Wallet,59013.237659549945,"",221,0
0x998a7fd73446cd6532bf3058a270581730b27137,Wallet,58938.038,"",0,0
0xc019139e9a3223f31015a73e13899c73fe64d524,Wallet,58547.98987278004,"",18,0
0x5e032243d507c743b061ef021e2ec7fcc6d3ab89,Wallet,57777.572122649035,Upbit,264093,0
0x82c4824bf7695c459ff5d6bb6263ffde66b94237,Wallet,57523.75500000003,"",10,0
0x8599cbd5a6a9dcd4b966be387d69775da5e33c6f,Wallet,57478.95,"",4,0
0xb8d2b921c0ea0ca27266fa63907a079ef25084d0,Multisig,55918.73181715666,MultiSigWalletWithDailyLimit,51,93
0xf775a9a0ad44807bc15936df0ee68902af1a0eee,Wallet,55709.96506200623,"",143182,0
0x05576087d1ad92873da0a3b76e7105195935b0f5,Wallet,55230.015773937776,"",0,0
0xdd76b55ee6dafe0c7c978bff69206d476a5b9ce7,Multisig,55004.00000000434,RequestNetwork_MultiSig,11,33
0x7c2a289c0523e748c286a37570d2efc16d2c934e,Wallet,55000.55349999999,"",1,0
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,Wallet,53256.21984099928,"Yobit, Exchange Wallet",293597,0
0x415655297a0f299d13acce68195890200c5d4a8b,Wallet,53244.10590000002,"",8,0
0x19184ab45c40c2920b0e0e31413b9434abd243ed,Wallet,53062.136104646044,"",1,1
0xe2f34156be01c20aa815530d3a05b8951178bd81,Wallet,52807.72433774,"",0,0
0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,Wallet,52793.87250310109,"",30,41
0x60d0cc2ae15859f69bf74dadb8ae3bd58434976b,Wallet,50936.36343844143,"ZB.com, Exchange",644,1
0x00832a758a781055ac19b5f9bf553db8bb9db32d,Wallet,50689.60361753281,Monetha_Wallet,53,0
0xcf881556a2fdd7d0b0eaea737c13aa691d952d07,Wallet,50325.98015112025,"",9,0
0x50cb0508434b4c68a2c4fde30b02b269d2d5b6bd,Wallet,50005.986954916996,"",1,0
0xb7a2c103728b7305b5ae6e961c94ee99c9fe8e2b,Wallet,50000.99999999998,"",17,6
0x50bd66bfddf48b8914602bf51c93756731ec51ae,Wallet,50000.999138978994,"",1,0
0xc42bcd5617a7bc3324526e6d4cfdb9d11395e4fa,Wallet,50000.99258,"",1,0
0x5a03703125380cfda804446fdaa3b4064cb6cc0a,Wallet,50000.89,"",0,0
0x6220d7a458a68d6a554e5904792049fd2ef6bbcc,Wallet,50000.41949999999,"",1,0
0x17021eaebcd51eed93a45a6f81b71c441182e8d2,Wallet,50000.386999999995,"",1,0
0x45c0ac102f35384825abb6e4ba70c786e9697ae3,Wallet,50000.33099999999,"",1,0
0x1b0105235f7c8e1b71e681302cc5dd72169f5b7e,Wallet,50000.221999999994,"",1,0
0x532d90e829680721a2edb4cdb072ec45dab1333c,Wallet,50000.221999999994,"",1,0
0x0d454ce15b3fdea213ceb911346b330e31fbcaff,Wallet,50000.22099999999,"",1,0
0x83403a5fbf92c88d35ac77633b29a87716db4ff6,Wallet,50000.219999999994,"",1,0
0x34b7b1b28373c4eef868f787a843e5a1871a3cd1,Wallet,50000.208999999995,"",1,0
0x3ffbdcb15fd085a342a8ab88162b4842a7a6a354,Wallet,50000.2,"",1,0
0xb9db6142c780e8f3ff3fe5e94fc784ae537ca329,Wallet,50000.19699999999,"",1,0
0x07f1d450b16e53302931c5362ee0ab41f2978541,Wallet,50000.151,"",2,0
0x61687ed007aea3c0409b7c742aa6578c6a9077e7,Wallet,50000.149,"",1,0
0x32ee845fb08699fec04e1129c77ba326abf621c7,Wallet,50000.142199999995,"",1,0
0xabcdebb0d9c509460eb58ad134b4f57191f640b2,Wallet,50000.099899999994,"",1,0
0xc97b6e3e4301617f617b23120f31303e8ccee606,Wallet,50000.015999999996,"",1,0
0x565b8fbf9336bec8fbfb4f78fbf30d7f70d6973b,Wallet,50000.01299999999,"",1,0
0x8387dbf85230975a26909c1240f6aea7eb45f9f3,Wallet,50000.00161933577,"",2,0
0x9dd172097560b0830fb4faeaa0ec73d6cdb2a913,Wallet,49999.993624439,"",1,1
0x6a7b2e0d88867ff15d207c222bebf94fa6ce8397,Wallet,49999.5,"",3,0
0xa18eb0ed2543be132ef5aa3c8a87a0f5b2e30fca,Wallet,49996.56227579241,"",3,0
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,DEX,49643.68068661179,"IDEX_1, Dex, Exchange",538226,1328703
0xa3cca563fb6ecce1e02041a20486781da406a3e1,Wallet,48999.997731914,"",0,2
0xec5feafe210c12bfc9a5d05925a123f1e73fbef8,Wallet,48879.147532811825,"",14,9
0x72c683fdddc27575343edc84069f40db24e4b0a4,Wallet,48764.68140193998,"",5,9
0xd964a23cf2c7a38107e9d8d487ffee76186bacd7,Wallet,48681.006010000005,"",5,0
0x11d1dfeb422f9d482baf02f3d72a12ec2b82d373,Wallet,48449.43,"",5,0
0x66412fec63ac4e13d96a153b667f6d993fd717e8,Wallet,48199.973720379996,"",0,0
0x7534016ca9441b1628369a65fc40ff39fbf3b458,Wallet,48020.17767948001,"",1,0
0x1a24fac4ef97e364751516f1a1eef6d59dc6fce8,Wallet,47976.32684929729,"",4,0
0x716ba01ead2a91270635f95f25bfaf2dd610ca23,Wallet,47779.0004475,"",3,0
0xb3f060992efa9993006ed06cc6318e8c85f3d5c9,Wallet,47619.87864190778,"",31,2
0x8fda0da8b682601f8b6c08e271fc6b51460adf01,Wallet,46978.3331948955,"",21,2
0x0fbe8e4030df8e41ee4462a20d9fd80fa1f03342,Wallet,46680.88736995,"",2,4
0x11a4b512b7cf8a038316fb36d83f4cdd64ca6cb8,Wallet,46000.58886385,"",0,0
0x1c11ba15939e1c16ec7ca1678df6160ea2063bc5,Wallet,45537.53193829247,"",81,251
0x31548990804beef79102effaaa1a0b1883c555be,Wallet,45261.702980949995,"",0,0
0x000a89419ba4ea71aa57b5b5562405799069571d,Wallet,44999.994875777,"",0,3
0x73db218509050f3a169cba7289fd9ebbe6dba2ff,Wallet,44999.99004576301,"",0,2
0x957cd4ff9b3894fc78b5134a8dc72b032ffbc464,Wallet,44744.451704173494,"",63,1
0x49be8a0773824e2917f4baccebbdf298e7cf27bd,Wallet,43918.534400000004,"",0,0
0x1ac33f385a4e9fe2d809a81c5c10473f81ee0ed3,Wallet,43786.31051354697,"",1,0
0xe53fff67f9f384d20ebea36f43b93dc49ed22753,Wallet,42700.45964356,"",5,0
0x154af3e01ec56bc55fd585622e33e3dfb8a248d8,Multisig,42422.88196492748,Iconomi_MultiSig2,7,2
0x54e8c58d1e90282b67fb69648e9d8e21b9716c89,Wallet,41998.990045763,"",0,2
0x0a4a011995c681bc999fdd79754e9a324ae3b379,Wallet,41350.3,"",0,0
0x2b1df729083f6416861445d8aaac04ebdcd4a848,Wallet,41242.78,"",2,0
0xa7c5942a8305e88a08ab34fb73ef9dd8b329da05,Wallet,41238.2391849298,"",77,96
0x5696ae5ad2c22a4afc03bbae5bf18ca9278ae5c5,Wallet,41234.433950000006,"",0,0
0xcabbc50e1d97490a07cc0d1048c7639f1b11f4fd,Wallet,41179.950000000004,"",6,0
0x9c5a760c303c6723443cf40b853ad1b2834c138b,Wallet,41172.990108763,"",0,2
0x4b068fe2cee007a48db70b28047470ded49d6aba,Wallet,41040.33589786997,"",0,0
