VIT,VIT,/graphs/commit-activity,171,5 contributors
QLC,QLC,https://github.com/qlinkdev/qlink/graphs/commit-activity,166,8 contributors
Neumark,NEU,https://github.com/Neufund/TypeChain/graphs/commit-activity,165,14 contributors
Apollon,XAP,https://github.com/apollondeveloper/ApollonCore/graphs/commit-activity,153,+100 contributors
FantasyGold,FGC,https://github.com/FantasyGold/FantasyGold-Core/graphs/commit-activity,153,2 contributors
Loopring,LRC,https://github.com/loopring/protocol/graphs/commit-activity,152,12 contributors
United,UBTC,https://github.com/UnitedBitcoin/UnitedBitcoin/graphs/commit-activity,151,+100 contributors
Stellite,XTL,/graphs/commit-activity,150,5 contributors
Anoncoin,ANC,https://github.com/Anoncoin/anoncoin/graphs/commit-activity,148,+100 contributors
PWR,PWR,/graphs/commit-activity,147,3 contributors
Help,HTH,https://github.com/HTHcoin/HTH/graphs/commit-activity,147,10 contributors
SPINDLE,SPD,/graphs/commit-activity,147,8 contributors
Ryo,RYO,/graphs/commit-activity,143,8 contributors
Bitcoin,BITG,/graphs/commit-activity,141,5 contributors
B3Coin,KB3,/graphs/commit-activity,138,6 contributors
Terracoin,TRC,https://github.com/terracoin/terracoin/graphs/commit-activity,135,+100 contributors
Myriad,XMY,https://github.com/myriadteam/myriadcoin/graphs/commit-activity,135,+100 contributors
Digitalcoin,DGC,https://github.com/lomtax/digitalcoin/graphs/commit-activity,133,+100 contributors
Matryx,MTX,https://github.com/matryx/calcflow/graphs/commit-activity,127,7 contributors
OneLedger,OLT,/graphs/commit-activity,126,2 contributors
OmiseGO,OMG,https://github.com/omisego/plasma-mvp/graphs/commit-activity,125,24 contributors
Arionum,ARO,https://github.com/arionum/node/graphs/commit-activity,124,4 contributors
Super,SBTC,https://github.com/superbitcoin/SuperBitcoin/graphs/commit-activity,122,+100 contributors
Social,SEND,https://github.com/SocialSend/SocialSend/graphs/commit-activity,120,9 contributors
Electroneum,ETN,https://github.com/electroneum/electroneum/graphs/commit-activity,120,+100 contributors
Niobio,NBR,https://github.com/niobio-cash/niobio-node-daemon/graphs/commit-activity,117,16 contributors
LTO,LTO,https://github.com/legalthings/eth-contract-metadata/graphs/commit-activity,116,+100 contributors
MNPCoin,MNP,https://github.com/MasterNodesPro/MNPCoin/graphs/commit-activity,115,5 contributors
Rublix,RBLX,/graphs/commit-activity,113,4 contributors
