address,smart_contract_type,balance,address_annotation
0x5d86867b340f605f5c2713ae9d021db426bc15e7,Multisig,2393.1852349464,MultiSigWalletWithDailyLimit
0x4b1a99467a284cc690e3237bc69105956816f762,Wallet,2267.575907097917,"Bitmax_2, Exchange"
0x9a2d163ab40f88c625fd475e807bbc3556566f80,DEX,2219.8767972451,Dex
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,Wallet,2204.8190638030815,"Hotbit, Exchange Wallet"
0x236f9f97e0e62388479bf9e5ba4889e46b0273c3,Wallet,2139.5371586801684,"Okex_2, Exchange"
0x0aa5e088235cf537707cd29c8468b96944d049bc,Multisig,2125.485660907576,MultiSigWalletWithDailyLimit
0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Wallet,2114.1171014982897,"Exchange, Coinex, Exchange Wallet"
0xbd6d79f3f02584cfcb754437ac6776c4c6e0a0ec,Wallet,2027.6233105578467,"IDAX, Exchange Wallet"
0x19986fcfbc5ef9b9e377fa8429c5a8d215cbe814,Smart Contract,2000.0,Parity Bug
0xd5a68f19414857151ab5a67e11c0ba6ec151ff3d,Multisig,1955.00018468,MultiSigWalletWithDailyLimit
0xdecaf9cd2367cdbb726e904cd6397edfcae6068d,Wallet,1898.0840205226114,"MyEtherWallet_Donate, Donate"
0x8c8675898360d4115e32c0196e8e0a35d4c29840,Multisig,1869.0411815558741,MultiSigWallet
0x887e1c2bb36e80bd6701019e1d0bca9a29e42ab1,Multisig,1782.1889985299995,MultiSigWalletWithDailyLimit
0x0b7dc5a43ce121b4eaaa41b0f4f43bba47bb8951,Token,1771.1561122689538,EtherToken
0xc03281af336e2c25b41ff893a0e6ce1a932b23af,Multisig,1760.6435172906704,"HelloGoldMultisigWallet, MultiSigWallet"
0x23b61de5076526b3a1026491157c6df731ae8b61,Wallet,1750.6667402567984,DetherWallet
0x6492780dc59598c6f8a4984c6deffd4600ba0003,Smart Contract,1747.0,Parity Bug
0x05b34bf3562c61715f70240104abc6ae8c80055c,Smart Contract,1674.4448877424738,Parity Bug
0x59a5208b32e627891c389ebafc644145224006e8,Wallet,1658.1992400115646,"HitBTC_2, Exchange Wallet"
0x615ed6779507f223d04722d43ccc0cd871964e2a,Multisig,1650.4600770954105,MultiSigWallet
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,Wallet,1596.2729325536602,"Cashierest, Exchange Wallet"
0x3fcb02a27dc60573a0cb9bff9528fcd77e78d734,Smart Contract,1568.3136055,Parity Bug
0x8958618332df62af93053cb9c535e26462c959b0,Wallet,1567.2422839461808,"Exchange, Cobinhood_1, Exchange Wallet, Cobinhood"
0x33a22bcafd6ef4e4a5e322f9a3910298a3c043a8,Multisig,1536.3899999999994,MultiSigWallet
0x4fed1fc4144c223ae3c1553be203cdfcbd38c581,Wallet,1528.6316092822465,"Cryptonator, Wallet App"
0xd94c9ff168dc6aebf9b6cc86deff54f3fb0afc33,Wallet,1513.105969112605,"Yunbi_1, Exchange Wallet"
0x10e67d60f7a91b593e40e1562eb628e28db83475,Multisig,1500.0896000000012,MultiSigWalletWithDailyLimit
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,Wallet,1491.2659133524292,"Exchange, CoinExchange.io, Exchange Wallet"
0xa62142888aba8370742be823c1782d17a0389da1,Smart Contract,1484.7072284498154,"Fomo3D:Long, Fomo3D, Gambling, FoMo3Dlong"
0x83c54a35e72ae07c46fc8f8f172a13ba19ac3bed,Multisig,1395.9273230253089,MultiSigWallet
0xc640b901a529c58fb6f6c53665768e2d5c835421,Multisig,1372.7629114719075,Joyso_Wallet
0x04f062809b244e37e7fdc21d9409469c989c2342,Smart Contract,1272.437930132988,"Dex, Joyso, DEX"
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,Wallet,1190.442217978825,"Upbit, Exchange Wallet"
0xd7dfc49e5d13f77830029134fb06f5fa6d5e8ec4,Smart Contract,1176.441164590985,Parity Bug
0x0aef0fdce9b934b6fa5706612d1bc09cfeba44cc,Multisig,1161.0,MultiSigWalletWithDailyLimit
0xaea3846e14bec1ba8f562844d39b1215a1d588c6,Wallet,1160.7040043737222,"Scamming, ICO, Token sale of stablecoin, now ghosting everyone"
0x1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,DEX,1158.62854999233,"TokenStore, Dex"
0x2e642b8d59b45a1d8c5aef716a84ff44ea665914,DEX,1136.000728087108,Uniswap BAT
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,Wallet,1101.2768625060867,"Exchange, BigONE_2, Exchange Wallet, BigONE"
0xaa90b4aae74cee41e004bc45e45a427406c4dcae,Wallet,1078.6753575088082,"Exchange, Exchange Wallet, BitUN.io, BitUN.io_1"
0x1b3de683a4ff93457b0a27986361a5090e3fbb50,Smart Contract,1061.2772848817863,Parity Bug
0x27b788be487b2ec63c11b6e32ae4f68aa7fc959d,Multisig,1010.0003082999999,MultiSigWalletWithDailyLimit
0x9fa8fa61a10ff892e4ebceb7f4e0fc684c2ce0a9,Token,1003.6240483698513,"hongcoin, HONG"
0xd498c820a05d430dc52752db4c5e52952606f5b8,Multisig,1000.0,MultiSigWallet
0xdd55d5fb464e78840de173c0604b5dd9b73a83d5,Multisig,1000.0,MultiSigWalletWithDailyLimit
0x32c118c2ca3a9c9cc5519b43efc64088bb31d2f6,Multisig,987.9989,MultiSigWalletWithDailyLimit
0xefa351d189c367d109859afdf6f3d17eeb0825a5,Multisig,926.6262861899933,MultiSigWalletWithDailyLimit
0x26e75307fc0c021472feb8f727839531f112f317,Token,914.4938330973348,"C20, https://crypto20.com/, Fund"
0x8f1ce59d6ecc6f7563898a0fd4955c92ae67fe95,Multisig,900.0000000000001,MultiSigWallet
0x3b0bc51ab9de1e5b7b6e34e5b960285805c41736,Wallet,879.2924769230542,"ShapeShift_6, ShapeShift"
0x95f4552f7700e9ad7a773bad1f5cd10dee0e993d,Multisig,875.53417005097,MultiSigWallet
0x59694ac7a5e000b06ab7847ad0ddea6e8b4811cd,Multisig,870.00018906,MultiSigWalletWithDailyLimit
0xc8f48ea7df05e15f3ce3671af7979c066bc54856,Multisig,865.5803111716663,MultiSigWallet
0x167cb3f2446f829eb327344b66e271d1a7efec9a,Token,863.4279417195418,GandhiJi
0x31cba7ad3483f9bff236df556e1c3695736a9615,Multisig,858.1545933499998,MultiSigWalletWithDailyLimit
0x4e646a576917a6a47d5b0896c3e207693870869d,Smart Contract,854.4127637892115,Dice
0x03bdf69b1322d623836afbd27679a1c0afa067e9,Wallet,841.8899940877827,"Bitmax_1, Exchange"
0xa12431d0b9db640034b0cdfceef9cce161e62be4,Wallet,822.6139547101204,"Hitbtc, Exchange Wallet"
0x563b377a956c80d77a7c613a9343699ad6123911,Wallet,805.8750034952993,"ShapeShift_4, ShapeShift"
0xb1c5d524382324c9472c6f8e1a3c0a64465a4902,Multisig,805.7439703310374,PrivatixMultiSigWallet
0xc33f2b46526de2c05b7f5f2c5e0047b28d94855f,Multisig,798.7820301570005,MultiSigWalletWithDailyLimit
0x1c82ee5b828455f870eb2998f2c9b6cc2d52a5f6,Multisig,794.4233606349964,Indorse_MultiSig1
0x8d111abc0ad3f34db58f02db2e215841f801ceee,Multisig,790.1433055004687,MultiSigWalletWithDailyLimit
0x8cc70d4a9fa194a5b4191aa415a81bd8f8bbe2f1,Multisig,787.2847532817875,MultiSigWalletWithDailyLimit
0xd80f53d2d7a79cbb665a5b858b77341778c5c9c1,Wallet,758.3858706640331,"50x.com_Cold_Wallet, 50x.com Cold Wallet"
0xe5a04d98538231b0fab9aba60cd73ce4ff3039df,Smart Contract,746.4336130519819,EtherFlip
0x2299a91cc0bffd8c7f71349da8ab03527b79724f,Smart Contract,744.6012850799996,LandSale_v2
0x5f3ce3907e7e4c5b5b8d04dd3211ca8b81a64733,Smart Contract,741.42724746,Parity Bug
0x2600af6ff553b35e7c0ca97e4a9d9a495620896c,Multisig,737.6687047323665,MultiSigWallet
0x09ab1303d3ccaf5f018cd511146b07a240c70294,Wallet,716.2433523054153,"MinerallPool, Mining"
0xda4a4626d3e16e094de3225a751aab7128e96526,Multisig,715.3205427387027,Wallet
0x3b1355599a89a554ffa37fa9ed508f208a271aa9,Multisig,714.6782299999971,MultiSigWalletWithDailyLimit
0x1e2fbe6be9eb39fc894d38be976111f332172d83,Smart Contract,702.3916222673982,Dice
0xc3ad35d351b33783f27777e2ee1a4b6f96e4ee34,Token,674.6536606388097,E25_Booster
0x94bd4150e41c717b7e7564484693073239715376,Smart Contract,671.6943574815858,Parity Bug
0x90420b8aef42f856a0afb4ffbfaa57405fb190f3,Multisig,636.663436798505,"fdX Crowdsale Wallet, MultiSigWallet"
0xd35a2d8c651f3eba4f0a044db961b5b0ccf68a2d,Multisig,618.7198768750369,MultiSigWalletWithDailyLimit
0xe28e72fcf78647adce1f1252f240bbfaebd63bcc,Smart Contract,610.0019999999023,"Token Sale, ICO Wallets, Augur_TokenSale"
0x60a986fdf7db2a1385704a24603f27bd4f3abcfd,Multisig,601.1294999999999,MultiSigWalletWithDailyLimit
